Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
1.000000,2726.410696,0.044352,0.706181,58.918367,
2.000000,10031.847060,0.163193,0.926440,113.017452,
3.000000,3293.537728,0.053578,0.834622,64.756949,
4.000000,5595.653385,0.091027,0.812345,84.407388,
5.000000,12865.381751,0.209288,0.903521,127.987159,
6.000000,14184.477219,0.230746,0.915886,134.388382,
7.000000,15572.888213,0.253332,0.850145,140.811992,
8.000000,7343.244833,0.119456,0.881457,96.693897,
9.000000,8385.078196,0.136404,0.879564,103.325762,
10.000000,9756.685426,0.158717,0.874246,111.456708,
11.000000,10166.277172,0.165380,0.884331,113.772168,
12.000000,2442.847180,0.039739,0.830673,55.770329,
13.000000,4366.878149,0.071038,0.877975,74.565957,
14.000000,11855.055446,0.192852,0.814769,122.858965,
15.000000,14724.298135,0.239528,0.902544,136.921725,
16.000000,8424.987135,0.137054,0.926530,103.571361,
17.000000,14739.001428,0.239767,0.812760,136.990071,
18.000000,12252.044368,0.199310,0.815736,124.899109,
19.000000,16121.111011,0.262250,0.830149,143.269104,
20.000000,12565.014471,0.204402,0.947888,126.484281,
21.000000,6723.606038,0.109376,0.877748,92.524381,
22.000000,9298.782859,0.151268,0.889504,108.809825,
23.000000,11670.214042,0.189845,0.855176,121.897408,
24.000000,19536.476027,0.317810,0.867810,157.716879,
25.000000,15465.764218,0.251590,0.898987,140.326842,
26.000000,12245.742957,0.199208,0.913003,124.866986,
27.000000,2598.281996,0.042268,0.921939,57.517262,
28.000000,6626.984396,0.107805,0.929955,91.857164,
29.000000,8819.875588,0.143477,0.798693,105.970819,
30.000000,8311.561729,0.135208,0.857240,102.871809,
31.000000,7378.952831,0.120037,0.829221,96.928709,
32.000000,3711.531356,0.060377,0.887398,68.743498,
33.000000,20181.320468,0.328300,0.952918,160.298644,
34.000000,15829.145613,0.257501,0.945640,141.965820,
35.000000,7570.095646,0.123147,0.888785,98.176092,
36.000000,3995.094872,0.064990,0.809349,71.321194,
37.000000,9008.917932,0.146553,0.750941,107.100469,
38.000000,13369.494669,0.217488,0.851095,130.470569,
39.000000,10983.360192,0.178672,0.892350,118.255860,
40.000000,7173.106723,0.116689,0.871491,95.567166,
41.000000,10548.562801,0.171599,0.822796,115.891532,
42.000000,11894.964385,0.193502,0.964681,123.065588,
43.000000,9000.516050,0.146416,0.957976,107.050516,
44.000000,10225.090345,0.166337,0.879055,114.100786,
45.000000,14615.073669,0.237751,0.872036,136.412938,
46.000000,8624.531832,0.140300,0.819421,104.790720,
47.000000,9092.936751,0.147919,0.796277,107.598730,
48.000000,7143.700136,0.116210,0.844973,95.371073,
49.000000,10466.644452,0.170266,0.804409,115.440658,
50.000000,9779.790601,0.159093,0.854760,111.588602,
51.000000,3625.412066,0.058976,0.824466,67.941284,
52.000000,13405.202667,0.218069,0.902788,130.644687,
53.000000,12865.381751,0.209288,0.810146,127.987159,
54.000000,16849.974271,0.274107,0.929543,146.472023,
55.000000,11231.215710,0.182704,0.837769,119.582724,
56.000000,11050.575248,0.179765,0.858435,118.617155,
57.000000,4618.934608,0.075139,0.932336,76.687745,
58.000000,5988.441367,0.097417,0.831364,87.319645,
59.000000,8935.401464,0.145357,0.842818,106.662582,
60.000000,7784.343636,0.126632,0.897344,99.555684,
61.000000,5601.954797,0.091130,0.935877,84.454901,
62.000000,7362.149067,0.119764,0.926219,96.818280,
63.000000,3178.011851,0.051698,0.807686,63.611087,
64.000000,6450.544875,0.104934,0.842554,90.626093,
65.000000,16772.256863,0.272843,0.894270,146.133845,
66.000000,2610.884819,0.042473,0.921441,57.656585,
67.000000,9000.516050,0.146416,0.884356,107.050516,
68.000000,6183.785123,0.100595,0.919135,88.732405,
69.000000,8863.985468,0.144195,0.868703,106.235478,
70.000000,6395.932642,0.104046,0.936564,90.241644,
71.000000,17223.858018,0.280189,0.902580,148.088140,
72.000000,4062.309928,0.066084,0.861740,71.918660,
73.000000,12453.689535,0.202591,0.849289,125.922714,
74.000000,4665.144958,0.075890,0.911990,77.070403,
75.000000,12642.731879,0.205666,0.853309,126.874845,
76.000000,14875.532010,0.241988,0.897753,137.623093,
77.000000,13577.441247,0.220871,0.936808,131.481311,
78.000000,3224.222202,0.052450,0.909639,64.071891,
79.000000,10258.697873,0.166884,0.827151,114.288144,
80.000000,10636.782561,0.173034,0.893464,116.375136,
81.000000,4209.342862,0.068476,0.850191,73.208618,
82.000000,2762.118694,0.044933,0.957039,59.302940,
83.000000,7019.772378,0.114194,0.764474,94.540213,
84.000000,6904.246501,0.112315,0.836714,93.759051,
85.000000,8672.842653,0.141086,0.793382,105.083806,
86.000000,10767.011732,0.175153,0.962507,117.085375,
87.000000,15165.396938,0.246703,0.844528,138.957487,
88.000000,13035.519861,0.212056,0.897712,128.830662,
89.000000,9641.159549,0.156838,0.865927,110.794881,
90.000000,11510.578285,0.187249,0.839175,121.060825,
91.000000,8830.377940,0.143648,0.978982,106.033893,
92.000000,5457.022333,0.088772,0.912004,83.355244,
93.000000,5202.865404,0.084638,0.894685,81.390994,
94.000000,2942.759156,0.047871,0.772911,61.211415,
95.000000,2636.090465,0.042883,0.893844,57.934227,
96.000000,4112.721219,0.066904,0.777692,72.363522,
97.000000,8578.321481,0.139548,0.908145,104.509608,
98.000000,9155.950866,0.148945,0.789463,107.970916,
99.000000,5509.534095,0.089626,0.885628,83.755338,
100.000000,10019.244237,0.162988,0.934068,112.946439,
101.000000,12871.683163,0.209390,0.943493,128.018499,
102.000000,11056.876659,0.179868,0.946971,118.650970,
103.000000,9477.322851,0.154172,0.930085,109.849453,
104.000000,2881.845512,0.046880,0.769131,60.574579,
105.000000,3940.482639,0.064102,0.962005,70.832043,
106.000000,19032.363110,0.309609,0.934173,155.668742,
107.000000,11962.179441,0.194595,0.878804,123.412803,
108.000000,11306.832648,0.183934,0.907623,119.984609,
109.000000,6992.466261,0.113750,0.865909,94.356158,
110.000000,9639.059079,0.156804,0.853493,110.782811,
111.000000,12291.953307,0.199960,0.922001,125.102362,
112.000000,11311.033589,0.184002,0.810552,120.006897,
113.000000,14942.747066,0.243081,0.894438,137.933667,
114.000000,15312.429872,0.249095,0.882431,139.629478,
115.000000,6511.458519,0.105925,0.914073,91.052987,
116.000000,3911.076052,0.063623,0.836021,70.567249,
117.000000,14825.120718,0.241168,0.908077,137.389701,
118.000000,3196.916086,0.052006,0.868352,63.800000,
119.000000,5839.307962,0.094991,0.898447,86.225506,
120.000000,3138.102912,0.051049,0.745247,63.210416,
121.000000,5335.195045,0.086790,0.868045,82.419544,
122.000000,6116.570067,0.099501,0.876601,88.248846,
123.000000,6127.072419,0.099672,0.894673,88.324577,
124.000000,13134.241974,0.213661,0.888156,129.317579,
125.000000,8887.090643,0.144571,0.825099,106.373847,
126.000000,9735.680721,0.158375,0.876767,111.336668,
127.000000,3892.171818,0.063316,0.800589,70.396499,
128.000000,12203.733547,0.198524,0.953069,124.652622,
129.000000,4961.311297,0.080708,0.890086,79.479165,
130.000000,8765.263355,0.142589,0.870231,105.642226,
