Feature,Area (nm^2),Area Fraction (%),Roundness,Equivalent Diameter (nm),
1.000000,1058.637127,0.017221,0.894506,36.713739,
2.000000,529.318563,0.008611,0.932486,25.960534,
3.000000,102.923054,0.001674,0.883096,11.447519,
4.000000,508.313859,0.008269,0.904049,25.440230,
5.000000,249.955988,0.004066,0.995137,17.839671,
6.000000,657.447263,0.010695,0.926762,28.932471,
7.000000,69.315526,0.001128,0.758666,9.394428,
8.000000,978.819248,0.015923,0.887079,35.302569,
9.000000,277.262105,0.004510,0.933176,18.788855,
10.000000,800.279257,0.013019,0.923339,31.920952,
11.000000,84.018820,0.001367,0.937068,10.342924,
12.000000,462.103508,0.007517,0.910349,24.256308,
13.000000,636.442558,0.010353,0.826327,28.466539,
14.000000,730.963731,0.011891,0.870296,30.507244,
15.000000,445.299744,0.007244,0.893644,23.811200,
16.000000,936.809839,0.015240,0.738934,34.536695,
17.000000,291.965398,0.004750,0.913681,19.280609,
18.000000,176.439521,0.002870,0.210226,14.988321,
19.000000,483.108213,0.007859,0.862126,24.801461,
20.000000,1083.842773,0.017631,0.905657,37.148237,
21.000000,344.477160,0.005604,0.896170,20.942826,
22.000000,747.767494,0.012164,0.986250,30.855909,
23.000000,357.079983,0.005809,0.912416,21.322485,
24.000000,470.505390,0.007654,0.986609,24.475826,
25.000000,485.208683,0.007893,0.918012,24.855319,
26.000000,304.568221,0.004955,0.978049,19.692341,
27.000000,617.538324,0.010046,0.901111,28.040582,
28.000000,443.199273,0.007210,0.872386,23.754975,
29.000000,1144.756417,0.018622,0.705540,38.177862,
30.000000,735.164672,0.011959,0.784007,30.594783,
31.000000,764.571258,0.012438,0.850973,31.200679,
32.000000,699.456673,0.011378,0.845571,29.842518,
33.000000,808.681139,0.013155,0.990149,32.088079,
34.000000,161.736228,0.002631,0.819453,14.350225,
35.000000,1121.651242,0.018246,0.911694,37.790617,
36.000000,672.150557,0.010934,0.943186,29.254208,
37.000000,94.521172,0.001538,0.879925,10.970328,
38.000000,159.635757,0.002597,0.942212,14.256737,
39.000000,172.238580,0.002802,0.948709,14.808814,
40.000000,642.743970,0.010456,0.914372,28.607115,
41.000000,441.098803,0.007176,0.886799,23.698617,
42.000000,105.023525,0.001708,0.810129,11.563741,
43.000000,1117.450301,0.018178,0.919591,37.719781,
44.000000,199.544697,0.003246,0.843514,15.939517,
45.000000,312.970103,0.005091,0.918242,19.962112,
46.000000,115.525877,0.001879,0.820578,12.128154,
47.000000,157.535287,0.002563,1.030065,14.162632,
48.000000,670.050086,0.010900,0.910442,29.208462,
49.000000,651.145852,0.010593,0.848683,28.793483,
50.000000,995.623012,0.016196,0.884170,35.604306,
51.000000,831.786314,0.013531,0.907668,32.543252,
52.000000,331.874337,0.005399,0.997948,20.556156,
53.000000,367.582336,0.005980,1.004102,21.633778,
54.000000,636.442558,0.010353,0.884612,28.466539,
55.000000,493.610565,0.008030,0.899266,25.069593,
56.000000,508.313859,0.008269,0.880983,25.440230,
57.000000,226.850813,0.003690,0.862147,16.995159,
58.000000,890.599488,0.014488,0.683080,33.674122,
59.000000,161.736228,0.002631,0.868418,14.350225,
60.000000,741.466083,0.012062,0.957733,30.725623,
61.000000,111.324936,0.001811,0.185932,11.905600,
62.000000,54.612233,0.000888,1.068422,8.338732,
63.000000,451.601155,0.007346,0.889480,23.979084,
64.000000,302.467751,0.004920,0.945713,19.624319,
65.000000,203.745638,0.003314,0.852347,16.106427,
66.000000,315.070574,0.005125,0.965214,20.028987,
67.000000,134.430111,0.002187,0.179503,13.082879,
68.000000,369.682806,0.006014,0.946763,21.695501,
69.000000,178.539992,0.002904,0.996440,15.077274,
70.000000,443.199273,0.007210,0.949485,23.754975,
71.000000,182.740933,0.002973,0.874039,15.253622,
72.000000,357.079983,0.005809,0.941856,21.322485,
73.000000,308.769162,0.005023,0.800612,19.827685,
74.000000,201.645167,0.003280,0.969659,16.023189,
75.000000,86.119290,0.001401,0.646237,10.471413,
76.000000,54.612233,0.000888,0.986739,8.338732,
77.000000,489.409624,0.007961,0.934100,24.962686,
78.000000,130.229170,0.002119,0.794687,12.876837,
79.000000,443.199273,0.007210,0.868703,23.754975,
80.000000,577.629385,0.009397,0.929809,27.119376,
81.000000,615.437854,0.010012,0.734236,27.992853,
82.000000,249.955988,0.004066,0.917471,17.839671,
83.000000,573.428444,0.009328,0.850088,27.020581,
84.000000,302.467751,0.004920,0.774062,19.624319,
85.000000,195.343756,0.003178,0.973288,15.770840,
86.000000,203.745638,0.003314,0.613626,16.106427,
87.000000,172.238580,0.002802,0.992451,14.808814,
88.000000,1104.847478,0.017973,0.876374,37.506473,
89.000000,193.243285,0.003144,0.968041,15.685821,
90.000000,300.367280,0.004886,0.885889,19.556060,
91.000000,228.951283,0.003724,0.931340,17.073659,
92.000000,105.023525,0.001708,0.841044,11.563741,
93.000000,1041.833363,0.016948,0.806882,36.421195,
94.000000,264.659282,0.004305,0.909368,18.356870,
95.000000,983.020189,0.015991,0.785804,35.378244,
96.000000,623.839736,0.010148,0.898898,28.183283,
97.000000,336.075278,0.005467,0.980273,20.685849,
98.000000,1312.794056,0.021356,0.636862,40.883998,
99.000000,686.853850,0.011173,0.918979,29.572445,
100.000000,460.003037,0.007483,0.905603,24.201117,
101.000000,352.879042,0.005740,0.936299,21.196687,
102.000000,592.332678,0.009636,0.863987,27.462363,
103.000000,73.516467,0.001196,0.916962,9.674920,
104.000000,525.117623,0.008542,0.955020,25.857311,
105.000000,756.169376,0.012301,0.884418,31.028773,
106.000000,1556.448633,0.025320,0.953838,44.516648,
107.000000,1344.301114,0.021868,0.698742,41.371697,
108.000000,772.973140,0.012574,0.917173,31.371643,
